Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak
12/31/2017,67108,21918,MD,Philadelphia,Cecil,Conowingo,12073,226600,0.0,0.010254124,0.025339367,0.016496487,-0.015160185,2007-07,2007-Q3,268500,-0.156052142
12/31/2017,92538,78597,TX,Brownsville,Cameron,South Padre Island,12074,272100,0.002948765,0.01077266,0.018338323,-0.0059205659999999995,0.000775069,2009-06,2009-Q2,312100,-0.12816405
12/31/2017,79563,49076,MI,Lansing,Eaton,Olivet,12075,122300,-0.007305195,-0.023942538,-0.000816993,0.058589851,0.0038411609999999996,2005-07,2005-Q3,131700,-0.071374336
12/31/2017,79366,48759,MI,,Huron,Sebewaing,12076,66000,0.010719755,0.03286385,0.016949153,-0.022357891,,2012-11,2012-Q4,75900,-0.130434783
12/31/2017,62809,12865,NY,Glens Falls,Washington,Town of Salem,12077,112500,-0.01142355,-0.009683099,0.007162041,0.014280901,-0.013363001000000001,2009-05,2009-Q2,134300,-0.162323157
12/31/2017,65061,17372,PA,Gettysburg,Adams,Latimore Township,12078,192400,0.000520021,0.006276151,0.03329753,0.032080329,0.0010980789999999999,2006-07,2006-Q3,196800,-0.022357724
12/31/2017,96901,92536,CA,Riverside,Riverside,Aguanga,12079,366300,-0.019539615,-0.030439386000000002,0.004111842,0.090430766,-0.023323772000000003,2007-01,2007-Q1,550700,-0.334846559
12/31/2017,77451,45118,OH,Cincinnati,Brown,Fayetteville,12080,136300,-0.016594517,-0.044849334000000005,-0.006559766999999999,0.048228662,,2015-12,2015-Q4,167400,-0.185782557
12/31/2017,86863,65604,MO,Springfield,Greene,Ash Grove,12081,117800,0.0,0.027027027000000002,0.039717564,0.034550706,0.016516726000000002,2009-08,2009-Q3,122600,-0.039151713
12/31/2017,89864,73028,OK,Oklahoma City,Logan,Crescent,12082,104200,-0.019755408999999998,-0.036968577,-0.013257576,0.058008202,,2017-01,2017-Q1,108400,-0.038745387
12/31/2017,69398,27541,NC,Durham,Person,Hurdle Mills,12083,206000,-0.006271105,0.00292113,0.07347576900000001,0.047041047999999995,0.01725949,2017-10,2017-Q4,207400,-0.006750241
12/31/2017,74466,37762,TN,Knoxville,Campbell,Jellico,12084,72200,0.008379888,0.025568182000000002,-0.044973545,0.052884179,0.0029560859999999997,2017-01,2017-Q1,77000,-0.062337662
12/31/2017,62339,12027,NY,Albany,Saratoga,Ballston,12085,254400,-0.004305284,0.007125891,0.069356873,0.027991372999999996,0.008307555999999999,2017-11,2017-Q4,255500,-0.004305284
12/31/2017,63675,14712,NY,Jamestown,Chautauqua,Ellery,12086,156300,-0.000639386,-0.01821608,-0.19598765399999998,-0.007138221,-0.001270665,2016-12,2016-Q4,194400,-0.19598765399999998
12/31/2017,97279,93451,CA,San Luis Obispo,San Luis Obispo,San Miguel,12087,351200,0.006592147,0.022416303,0.100940439,0.096371564,-0.0050666090000000006,2006-10,2006-Q4,403900,-0.13047784099999998
12/31/2017,88663,70543,LA,Lafayette,Acadia,Iota,12088,128200,-0.008507347,-0.016871166,-0.047548291,,,2017-02,2017-Q1,136500,-0.060805860999999996
12/31/2017,73339,35133,AL,Birmingham,Saint Clair,Springville,12089,136900,-0.000729927,0.014074073999999999,0.04663608599999999,0.031737725,0.002293084,2017-11,2017-Q4,137000,-0.000729927
12/31/2017,63269,13748,NY,Binghamton,Broome,Conklin,12090,100900,0.022289767000000002,0.067724868,0.060988432999999995,0.019527955,0.009057755,2011-10,2011-Q4,106800,-0.055243445999999995
12/31/2017,78681,47581,IN,,Martin,Shoals,12091,71500,0.005625879,0.011315417,0.048387097000000004,0.017995032,0.008649367,2004-12,2004-Q4,88600,-0.19300225699999998
12/31/2017,79833,49637,MI,Traverse City,Grand Traverse,Grawn,12092,156800,0.008360129,0.005772930999999999,0.073972603,0.075631806,0.017984633,2017-12,2017-Q4,156800,0.0
12/31/2017,88871,71033,LA,Shreveport,Caddo,Greenwood,12093,124000,0.004862237,0.000807103,0.004862237,0.006747362,,2017-03,2017-Q1,124500,-0.004016064000000001
12/31/2017,65429,18336,PA,New York,Pike,Matamoras,12094,157100,-0.005696203,-0.01689612,0.030163934,0.019128135,-0.028234557999999996,2008-04,2008-Q2,221600,-0.29106498199999997
12/31/2017,62678,12580,NY,New York,Dutchess,Hyde Park,12095,226300,0.009366636999999999,0.017535971,0.02351877,0.014484083,-0.023141067999999997,2006-09,2006-Q3,297300,-0.23881601100000002
12/31/2017,94901,85324,AZ,Prescott,Yavapai,Black Canyon City,12096,190600,0.003686151,-0.011410788,0.07259426,0.08595719800000001,-0.004752695,2007-07,2007-Q3,204300,-0.067058248
12/31/2017,97349,93602,CA,Fresno,Fresno,Auberry,12097,280400,0.009722722,0.022611232999999998,0.070637648,0.07109661099999999,-0.016690663999999997,2006-04,2006-Q2,387300,-0.276013426
12/31/2017,59211,3813,NH,,Carroll,Conway,12098,168100,0.00839832,0.01143201,0.031921424,0.034759858,-0.001416621,2004-07,2004-Q3,198100,-0.151438667
12/31/2017,76987,44084,OH,Ashtabula,Ashtabula,Roaming Shores,12099,133300,-0.007446016,-0.003736921,-0.030545455,0.017540699,-0.003891395,2006-12,2006-Q4,140500,-0.051245552
12/31/2017,65427,18334,PA,East Stroudsburg,Monroe,Tobyhanna Township,12100,134300,0.005239521,0.036265432,0.153780069,0.002399908,,2010-08,2010-Q3,158700,-0.153749212
12/31/2017,81395,53574,WI,Madison,Green,New Glarus,12101,210600,0.010071942,0.043607532000000004,0.029325512999999997,0.04975914,0.012335697,2017-02,2017-Q1,212300,-0.008007537
12/31/2017,98329,95634,CA,Sacramento,El Dorado,Georgetown,12102,298700,0.004371217,0.021545828,0.13315629699999998,0.12184666699999999,-0.0014612370000000002,2006-04,2006-Q2,367700,-0.187652978
12/31/2017,76486,43046,OH,Columbus,Fairfield,Millersport,12103,176500,-0.0028248590000000003,0.017291066,0.090852905,0.05014032,0.007127117,2017-11,2017-Q4,177000,-0.0028248590000000003
12/31/2017,73693,36025,AL,Montgomery,Elmore,Elmore,12104,122800,-0.00081367,-0.00081367,0.00244898,-0.005762228,-0.00682161,2009-05,2009-Q2,149600,-0.179144385
12/31/2017,66958,21660,MD,,Caroline,Ridgely,12105,192000,0.002610966,0.007345226,0.009463721999999999,0.038830903,-0.014900348,2006-05,2006-Q2,249400,-0.23015236600000002
12/31/2017,79633,49249,MI,Hillsdale,Hillsdale,Jerome,12106,153600,0.008535785,0.031564809,0.052054795,0.04817671,0.011207887,2002-06,2002-Q2,158900,-0.033354311
12/31/2017,64229,15670,PA,Pittsburgh,Westmoreland,Salem Township,12107,138300,0.002173913,0.0050872090000000005,0.036731634,0.026917623999999998,0.023999496000000002,2017-12,2017-Q4,138300,0.0
12/31/2017,59303,4015,ME,Portland,Cumberland,Casco,12108,224300,0.009905448,0.038906901,0.075779376,0.031157111,0.006465749,2017-12,2017-Q4,224300,0.0
12/31/2017,89820,72937,AR,Fort Smith,Sebastian,Hackett,12109,113600,-0.0035087720000000003,-0.022375215,0.091258405,0.044904738,0.009159836,2017-09,2017-Q3,116200,-0.022375215
12/31/2017,65040,17344,PA,Gettysburg,Adams,McSherrystown,12110,147700,0.001355932,-0.006056528,0.032867133,0.008328700999999999,-0.012560153999999999,2008-06,2008-Q2,170400,-0.133215962
12/31/2017,73659,35966,AL,,De Kalb,Flat Rock,12111,119400,0.0075949369999999995,0.018771331000000002,0.052910053,0.049222866,,2015-07,2015-Q3,123300,-0.03163017
12/31/2017,89399,72132,AR,Pine Bluff,Jefferson,Redfield,12112,118600,-0.014950166,-0.022258862,0.054222222,-0.00693594,,2012-10,2012-Q4,126200,-0.06022187
12/31/2017,62690,12594,NY,New York,Dutchess,Dover,12113,213500,0.010411736999999999,0.021531099999999997,0.119559518,0.02295139,-0.025525958999999997,2006-09,2006-Q3,301600,-0.292108753
12/31/2017,74545,37891,TN,Morristown,Hamblen,Whitesburg,12114,108100,0.0018535679999999999,0.0018535679999999999,0.10418794699999999,0.041057425,0.010997756000000001,2017-08,2017-Q3,108600,-0.004604052
12/31/2017,79335,48725,MI,,Huron,Caseville,12115,107000,-0.012915129,-0.016544118,-0.027272727000000004,0.031117646000000002,,2010-03,2010-Q1,111700,-0.042076992
12/31/2017,80825,52068,IA,Dubuque,Dubuque,Peosta,12116,241600,0.008768267,0.017263158,-0.025806452,0.026580935,,2017-01,2017-Q1,248200,-0.026591458999999998
12/31/2017,78884,47987,IN,,Fountain,Veedersburg,12117,75600,0.058823529000000006,0.084648494,0.06629055,0.028469188,0.007438325,2005-02,2005-Q1,94700,-0.20168954600000003
12/31/2017,74229,37189,TN,Nashville,Davidson,Nashville,12118,231500,0.003902862,0.017135325,0.169191919,0.09869346300000001,0.03841284,2017-12,2017-Q4,231500,0.0
12/31/2017,60476,6853,CT,Stamford,Fairfield,Norwalk,12119,1097100,0.002009316,0.016209707,0.011338496000000002,0.038629792,0.013312138999999999,2017-12,2017-Q4,1097100,0.0
12/31/2017,81718,54479,WI,Wausau,Marathon,Spencer,12120,127000,0.008737093000000001,0.034201954,0.124889283,0.035641162000000004,0.021265907999999997,2017-12,2017-Q4,127000,0.0
12/31/2017,86246,63933,MO,Kennett,Dunklin,Campbell,12121,72300,0.015449438000000001,0.016877637,0.05393586,0.009973484,0.0018160720000000002,2017-12,2017-Q4,72300,0.0
12/31/2017,100028,98932,WA,Yakima,Yakima,Granger,12122,160200,0.008181246,0.032216495,0.17190929,0.081650736,0.040409658,2017-12,2017-Q4,160200,0.0
12/31/2017,86578,64747,MO,Kansas City,Cass,Garden City,12123,147300,0.0,0.023627519,0.14363354,0.027365175,0.004952357,2017-12,2017-Q4,147300,0.0
12/31/2017,64231,15672,PA,Pittsburgh,Westmoreland,New Stanton,12124,154300,0.008496732,0.024568392999999997,0.043272480999999995,0.022432037999999998,0.015655234,2017-12,2017-Q4,154300,0.0
12/31/2017,93019,79567,TX,,Runnels,Winters,12125,95100,0.0074152540000000005,0.00955414,0.081911263,0.035444314,-0.0038095890000000004,2007-11,2007-Q4,99300,-0.042296073
12/31/2017,73461,35452,AL,Tuscaloosa,Tuscaloosa,Coker,12126,153400,0.007884363,0.024032043,0.089488636,0.039150212999999996,0.008464523,2014-12,2014-Q4,161600,-0.050742574000000006
12/31/2017,418162,93737,CA,Fresno,Fresno,Fresno,12127,339700,0.007115328000000001,0.030018193,0.131956015,0.069207798,-0.002066399,2006-07,2006-Q3,394200,-0.138254693
12/31/2017,78940,48064,MI,Detroit,Saint Clair,Casco,12128,224400,-0.002666667,0.013092551000000001,0.060491493,0.075285996,0.010972838,2005-02,2005-Q1,262500,-0.145142857
12/31/2017,91208,76044,TX,Dallas-Fort Worth,Johnson,Godley,12129,219000,0.026722925,0.051873199,0.18570655100000003,0.10538772699999999,0.044718945999999996,2017-12,2017-Q4,219000,0.0
12/31/2017,90251,74039,OK,Tulsa,Creek,Kellyville,12130,123200,0.002441009,0.003257329,0.09706144300000001,0.067435862,,2017-12,2017-Q4,123200,0.0
12/31/2017,90078,73554,OK,,Greer,Mangum,12131,54500,0.022514071,0.07495069,0.241457859,0.047084477,0.051768259000000004,2017-12,2017-Q4,54500,0.0
12/31/2017,64157,15541,PA,Somerset,Somerset,Friedens,12132,104400,-0.01042654,-0.018796992,-0.03601108,-0.017267418,-0.025087712999999998,2008-02,2008-Q1,144500,-0.277508651
12/31/2017,67332,22625,VA,Winchester,Frederick,Cross Junction,12133,242600,-0.002877106,0.003308519,0.020185029,0.046265645999999994,-0.013386318999999999,2006-05,2006-Q2,315100,-0.23008568699999998
12/31/2017,63843,15026,PA,Pittsburgh,Beaver,Hanover Township,12134,216500,0.003708855,0.021708353,0.084126189,0.042646832,0.041259568999999996,2017-12,2017-Q4,216500,0.0
12/31/2017,62977,13132,NY,Syracuse,Oswego,Schroeppel,12135,118500,0.004237288,0.006796941,0.038562663999999997,0.018352697,0.003089841,2006-05,2006-Q2,126100,-0.060269627
12/31/2017,82201,55349,MN,Minneapolis-St Paul,Wright,Howard Lake,12136,189000,-0.011506276000000001,-0.025270757999999997,0.005854178000000001,0.058106514000000005,-0.004741683,2006-08,2006-Q3,210400,-0.101711027
12/31/2017,77169,44430,OH,Youngstown,Trumbull,Leavittsburg,12137,66800,0.010590015,0.030864198,0.09150326800000001,0.03079645,,2017-12,2017-Q4,66800,0.0
12/31/2017,58935,2838,RI,Providence,Providence,Manville,12138,227900,0.003522677,0.011540169,0.06197576900000001,0.06724197700000001,-4.38683e-05,2005-08,2005-Q3,261900,-0.12982054199999998
12/31/2017,65285,17970,PA,Pottsville,Schuylkill,Saint Clair,12139,39700,-0.005012531,0.002525253,0.005063291,0.016393512,-0.021424454,2007-06,2007-Q2,52500,-0.24380952399999997
12/31/2017,63512,14416,NY,Batavia,Genesee,Town of Bergen,12140,130400,0.00076746,0.003849115,0.003076923,0.027787722,0.012646754,2016-10,2016-Q4,130900,-0.00381971
12/31/2017,77240,44624,OH,New Philadelphia,Tuscarawas,Dundee,12141,193000,-0.006179196999999999,-0.020801623999999998,-0.03063787,0.029362085,0.04111034,2017-07,2017-Q3,200200,-0.035964036
12/31/2017,78473,47164,IN,Louisville/Jefferson County,Harrison,Palmyra,12142,110000,-0.001814882,0.008249313000000001,0.063829787,0.022538142999999997,0.013390059,2005-09,2005-Q3,112400,-0.021352312999999998
12/31/2017,75441,39827,GA,,Grady,Cairo,12143,134700,-0.008830022,-0.005169867,-0.01750547,0.016363827,-0.0054737069999999995,2008-07,2008-Q3,150800,-0.106763926
