Date,US ALL EMPS - NONFARM INDUSTRIES TOTAL (PAYROLL SURVEY) VOLA,US TOTAL CIVILIAN EMPLOYMENT VOLA,US UNEMPLOYED (16 YRS & OVER) VOLA,US UNEMPLOYMENT RATE SADJ,US JOB OPENINGS: TOTAL NONFARM (LEVEL) VOLN,US AHE: PROD EMPS - TOTAL PRIVATE CURA,US AHE: PROD EMPS - MANUFACTURING CURN,US CHALLENGER JOB-CUT ANNOUNCEMENTS VOLN,US CONSUMER CREDIT OUTSTANDING CURA,US CONSUMER CONFIDENCE INDEX SADJ,"US RETAIL SALES & FOOD SERVICES, TOTAL CURA",US POPULATION (ESTIMATES USED IN TIOL ACCOUNTS) VOLN,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL ITEMS LESS FOOD & ENERGY (CORE) SADJ,US CPI- ALL URBAN SAMPLE: ALL ITEMS - ANNUAL INFLATION RATE DJ,US NEW PASSENGER CARS - TOTAL REGISTRATIONS VOLN,US AUTODATA RETAIL SALES OF NEW LIGHT VEHICLES: TOTAL (AR) VOLA,US AUTODATA RETAIL SALES OF NEW LIGHT VEHICLES: DOM. (AR) VOLA,US AUTODATA RETAIL SALES OF NEW CARS: DOMESTIC (AR) VOLA,US AUTODATA RETAIL SALES OF NEW LIGHT TRUCKS: DOMESTIC (AR) VOLA,US SALES OF NEW ONE FAMILY HOUSES (AR) VOLA,US PENDING HOME SALES INDEX (AR) SADJ,US TIOL ASSOCIATION OF HOME BUILDERS HOUSING MARKET INDEX,US CAPACITY UTILIZATION RATE - ALL INDUSTRY SADJ,US ISM PURCHASING MAGERS INDEX (MFG SURVEY) SADJ,US ISM NONMANUFACTURERS SURVEY INDEX: COMPOSITE DJ,US PHILADELPHIA FED MBOS: GENL BUS ACTIV - INDEX SADJ,US EMPIRE STATE MFG SURVEY DIFFUSION INDEX: GENERAL BUS CONDITIO,US INDUSTRIAL PRODUCTION - TOTAL INDEX VOLA,US CONSTRUCTION EXPENDITURES - TOTAL (AR) CURA,US NEW ORDERS - ALL MANUFACTURING INDUSTRIES CURA,"US NEW ORDERS - MANUFACTURING, EXCLUDING TRANSPORTATION CURA",US BUSINESS INVENTORIES (MFG & TRADE) CURA,US WHOLESALE TRADE INVENTORIES - TOTAL CURA,US PPI - FIL DEMAND SADJ,US PPI - FIL DEMAND LESS FOODS AND ENERGY SADJ,,US FEDERAL GOVERNMENT BUDGET BALANCE CURN,US TOTAL TREASURY SECURITIES OUTSTANDING (PUBLIC DEBT) CURN,US FOREIGN RESERVE ASSETS CURN,US EXPORTS F.A.S. CURA,US IMPORTS F.A.S. CURA,US VISIBLE TRADE BALANCE F.A.S.-F.A.S. CURA,US US $ TO EURO NOON NY (EP) DJ,US TRADE-WEIGHTED VALUE OF US DOLLAR AGAINST MAJOR CURRENCIES,US EXP - ALL COMMODITIES (END USE) DJ,US IMP - ALL COMMODITIES (END USE) DJ,US PPI - FIL DEMAND DJ,US THE CONFERENCE BOARD LEADING ECONOMIC INDICATORS INDEX SADJ,US MONEY SUPPLY M2 (BCI 106) CO,US CONSUMER CONFIDENCE INDEX SADJ,US TIOL ASSOCIATION OF HOME BUILDERS HOUSING MARKET INDEX,US ISM PURCHASING MAGERS INDEX (MFG SURVEY) SADJ,US ISM NONMANUFACTURERS SURVEY INDEX: COMPOSITE DJ,US CHICAGO PURCHASING MAGER BUSINESS BAROMETER (SA) SADJ,US PHILADELPHIA FED MBOS: GENL BUS ACTIV - INDEX SADJ,US EMPIRE STATE MFG SURVEY DIFFUSION INDEX: GENERAL BUS CONDITIO,US TIPP ECONOMIC OPTIMISM INDEX: OVERALL DJ,US PERSOL INCOME (MONTHLY SERIES) (AR) CURA,US PERSOL SAVING AS % OF DISPOSABLE PERSOL INCOME SADJ,US DISPOSABLE PERSOL INCOME (AR) CURA,US PERSOL CONSUMPTION EXPENDITURES (AR) CURA,US CHAIN-TYPE PRICE INDEX FOR PCE LESS FOOD & ENERGY SADJ,US FOREIGN RESERVE ASSETS CURN,US US $ TO EURO NOON NY (EP) DJ,US TRADE-WEIGHTED VALUE OF US DOLLAR AGAINST MAJOR CURRENCIES,US MONETARY BASE CURN,US MONEY SUPPLY M1 CURN,US FEDERAL FUNDS RATE (MONTHLY AVERAGE) DJ,US TREASURY BILL RATE - 3 MONTH (EP) DJ,US INTERBANK RATE - 3 MONTH (LONDON) (MONTH AVG) DJ,US PRIME RATE CHARGED BY BANKS (MONTH AVG) DJ,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 20 YEAR DJ,US TOTAL TREASURY SECURITIES OUTSTANDING (PUBLIC DEBT) CURN,US FOREIGN NET LONG TERM FLOWS IN SECURITIES CURN,US COMMERCIAL BANK ASSETS - LOANS & LEASES IN BANK CREDIT CURA,US COMMERCIAL BANK ASSETS - COMMERCIAL & INDUSTRIAL LOANS CURA,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL ITEMS LESS FOOD & ENERGY (CORE) SADJ,US EXP - ALL COMMODITIES (END USE) DJ,US IMP - ALL COMMODITIES (END USE) DJ,US PPI - FIL DEMAND SADJ,US PPI - FIL DEMAND LESS FOODS AND ENERGY SADJ,SPX 500 Percent Shift Next Month
1/15/81,91037,99955,8071,7.5,,7.19,7.61,,353.02932,74.4,,229004,87.2,85.4,11.83,636,,,,,511,,,80.6749,49.2,,2.1,,52.7119,301.254,,,,,,,,-12192,934100,28316,18902,22616.3,-3714.3,,96.0263,,,,62.4,3468.5,74.4,,49.2,,51.5,2.1,,,2484.6,10.5,2157.3,1874.695,45.277,28316,,96.0263,161080,416.4,19.08,14.78,18.263,20.16,12.29,934100,2125,918.8727,312.4522,87.2,85.4,,,,,0.013276727
2/15/81,91105,100191,8051,7.4,,7.23,7.62,,354.74499,69,,229148,88,85.9,11.41,675,,,,,510,,,80.0954,48.8,,5.2,,52.4633,299.309,,,,,,,,-15620,950500,29682,19788.2,21915.1,-2126.9,,99.119,,,,62,3459,69,,48.8,,52.5,5.2,,,2501.4,10.4,2170.8,1889.352,45.608,29682,,99.119,158982,405.5,15.93,14.37,17.335,19.43,12.98,950500,2756,922.551,313.117,88,85.9,,,,,0.036032605
3/15/81,91210,100571,7982,7.4,,7.29,7.68,,357.12713,77.8,,229314,88.6,86.4,10.49,849,,,,,514,,,80.3308,49.6,,7.8,,52.7501,297.38,,,,,,,,-9582,964500,30410,21277.8,21028.9,248.9,,99.465,,,,62.1,3473.1,77.8,,49.6,,51.6,7.8,,,2525.8,10.3,2190.9,1908.095,45.86,30410,,99.465,159765,412.2,14.7,12.45,14.838,18.05,12.94,964500,2658,925.5523,314.3933,88.6,86.4,,,,,-0.023455882
4/15/81,91283,101056,7869,7.2,,7.33,7.76,,359.13287,81.6,,229489,89.1,87,10,752,,,,,470,,,79.7845,51.6,,-1.2,,52.5233,296.641,,,,,,,,17190,964000,29693,19786.1,22248.6,-2462.5,,101.5272,,,,62.5,3505.9,81.6,,51.6,,52.9,-1.2,,,2531.5,10.3,2193.4,1909.142,46.15,29693,,101.5272,162371,431,15.72,14.36,15.966,17.15,13.46,964000,1116,932.7058,318.5024,89.1,87,,,,,-0.001656502
5/15/81,91293,101048,8174,7.5,,7.37,7.8,,361.2328,86.9,,229668,89.7,87.8,9.78,731,,,,,467,,,80.0334,53.5,,9,,52.8211,291.641,,,,,,,,-16171,968500,29395,18899,21231.5,-2332.5,,104.7946,,,,62.1,3500.9,86.9,,53.5,,51.2,9,,,2549.8,10.4,2206.6,1918.174,46.466,29395,,104.7946,163200,418.5,18.52,15.92,19.131,19.61,13.82,968500,2006,944.814,324.08,89.7,87.8,,,,,-0.010408025
6/15/81,91490,100298,8098,7.5,,7.42,7.85,,362.74346,83,,229864,90.5,88.6,9.55,747,,,,,415,,,80.2057,50.7,,-2.2,,53.0699,289.299,,,,,,,,15363,971200,29582,19749.8,22005,-2255.2,,107.039,,,,61.6,3499.8,83,,50.7,,49.6,-2.2,,,2573,10.2,2226.3,1938.457,46.696,29582,,107.039,163929,422.8,19.1,14.12,18.011,20.03,13.2,971200,2178,952.2848,328.1726,90.5,88.6,,,,,-0.002210197
7/15/81,91602,100693,7863,7.2,,7.46,7.89,,364.67773,83.5,,230077,91.5,89.8,10.76,690,,,,,431,,,80.5071,46.7,,5.5,,53.4044,290.158,,,,,,,,-10343,973300,28867,19289.4,20114.2,-824.8,,109.6456,,,,61.1,3503,83.5,,46.7,,48.8,5.5,,,2626.3,11.7,2274,1945.702,46.976,28867,,109.6456,166041,427.7,19.04,15.23,18.631,20.39,13.92,973300,1802,958.6031,331.8571,91.5,89.8,,,,,-0.062098992
8/15/81,91566,100689,8036,7.4,,7.53,7.9,,365.15446,85.7,,230300,92.2,90.7,10.8,721,,,,,378,,,80.2934,48.3,,16.8,,53.3959,287.31,,,,,,,,-5119,980200,29265,19030.8,23242.4,-4211.6,,111.3557,,,,60.8,3507.1,85.7,,48.3,,48.7,16.8,,,2651.6,11.4,2293.6,1969.789,47.289,29265,,111.3557,166116,425.9,17.82,15.58,18.911,20.5,14.52,980200,1996,966.1029,336.523,92.2,90.7,,,,,-0.053831745
9/15/81,91479,100064,8230,7.6,,7.57,8.03,,369.59574,77.6,,230527,93.1,91.8,10.95,763,,,,,338,,,79.6159,42.5,,7.5,,53.0761,286.009,,,,,,,,6335,997900,29715,19550.7,21274.2,-1723.5,,108.376,,,,60,3510.1,77.6,,42.5,,42.8,7.5,,,2665.4,11.9,2305,1968.248,47.597,29715,,108.376,164686,427,15.87,14.1,17.96,20.08,15.07,997900,1998,972.0761,338.1155,93.1,91.8,,,,,0.049147874
10/15/81,91380,100378,8646,7.9,,7.59,8.04,,370.45671,75.6,,230732,93.4,92.1,10.14,654,,,,,356,,,78.8563,40,,-13.2,,52.6972,283.919,,,,,,,,-18105,1005000,30248,19163.2,23076.9,-3913.7,,107.7176,,,,59.6,3526.8,75.6,,40,,43,-13.2,,,2669.5,12.5,2320.2,1966.195,47.879,30248,,107.7176,164972,429.7,15.08,13.05,16.509,18.45,15.13,1005000,1346,976.7841,341.1989,93.4,92.1,,,,,0.036590368
11/15/81,91171,100207,9029,8.3,,7.64,8.08,,371.75991,66.9,,230906,93.8,92.5,9.59,614,,,,,382,,,77.7779,36.1,,-25.7,,52.0996,282.164,,,,,,,,-10642,1013300,31001,19152.9,22508.4,-3355.5,,105.5155,,,,59.4,3537.2,66.9,,36.1,,34.4,-25.7,,,2686.4,12.7,2333.4,1972.376,48.156,31001,,105.5155,167230,435.1,13.31,10.2,13.465,16.84,13.56,1013300,-165,983.6278,345.5088,93.8,92.5,,,,,-0.030075188
12/15/81,90893,99645,9267,8.5,,7.64,8.14,,371.30144,66.6,,231073,94.1,93,8.92,612,,,,,457,,,76.7396,37.8,,-34.5,,51.5219,281.591,,,,,,,,-19468,1028700,30075,18885.4,19746.4,-861,,105.4629,,,,59.2,3565.9,66.6,,37.8,,34.4,-34.5,,,2692.9,12,2337.2,1989.863,48.33,30075,,105.4629,170681,447,12.37,11.64,13.408,15.75,13.73,1028700,396,978.5324,350.3077,94.1,93,,,,,-0.01754386
1/15/82,90567,99692,9397,8.6,,7.72,8.29,,375.16736,64.9,,231235,94.4,93.3,8.39,509,,,,,368,,,75.0424,38.2,,-19.8,,50.4933,274.039,,,,,,,,9339,1038400,30097,18583.6,22572.8,-3989.2,,107.143,,,,58.6,3575.1,64.9,,38.2,,35.6,-19.8,,,2700.7,12.2,2352.1,1997.404,48.624,30097,,107.143,169811,448.4,13.22,12.77,16.028,15.75,14.57,1038400,1747,984.5318,354.8455,94.4,93.3,,,,,-0.060548173
2/15/82,90562,99762,9705,8.9,,7.73,8.21,,376.37707,62.3,,231392,94.7,93.8,7.62,546,,,,,365,,,76.3724,38.3,,-15.3,,51.4979,278.508,,,,,,,,-14780,1048200,30061,18613.6,19570,-956.4,,110.4267,,,,58.9,3572.7,62.3,,38.3,,32.2,-15.3,,,2719.9,11.6,2365.2,2021.361,48.81,30061,,110.4267,167490,432.4,14.78,12.16,15.938,16.56,14.48,1048200,2753,995.7136,360.7137,94.7,93.8,,,,,-0.010167094
3/15/82,90432,99672,9895,9,,7.76,8.24,,376.88541,56.7,,231558,94.7,93.9,6.78,626,,,,,374,,,75.6525,36.8,,-15.6,,51.1159,279.902,,,,,,,,-18255,1061300,29944,18461.6,20018,-1556.4,,112.3217,,,,58.6,3587.9,56.7,,36.8,,32,-15.6,,,2724.6,11.7,2370.5,2024.424,49.021,29944,,112.3217,166219,435.6,14.68,13.44,15.063,16.5,13.75,1061300,1682,1002.4971,363.9746,94.7,93.9,,,,,0.040014291
4/15/82,90152,99576,10244,9.3,,7.77,8.28,,378.63428,57,,231727,95,94.7,6.51,672,,,,,339,,,74.8395,37.8,,-3.2,,50.6623,277.901,,,,,,,,9704,1065700,31556,18005.2,17714.4,290.8,,113.6438,,,,58.6,3621,57,,37.8,,34.1,-3.2,,,2744.6,12.4,2395,2027.16,49.213,31556,,113.6438,168703,451.1,14.94,12.36,15.288,16.5,13.57,1065700,2254,1012.5018,371.0565,95,94.7,,,,,-0.0391618
5/15/82,90107,100116,10335,9.4,,7.83,8.32,,380.4388,61.4,,231901,95.9,95.4,6.68,708,,,,,384,,,74.2472,35.5,,-4.6,,50.3505,275.92,,,,,,,,-18930,1071700,30914,18124.3,20476.8,-2352.5,,111.5298,,,,58.3,3622.7,61.4,,35.5,,35.9,-4.6,,,2760.5,11.7,2398.9,2045.914,49.48,30914,,111.5298,170045,440.9,14.45,11.54,14.66,16.5,13.46,1071700,2598,1020.7636,375.9823,95.9,95.4,,,,,-0.020289596
6/15/82,89864,99543,10538,9.6,,7.85,8.36,,381.98562,56.7,,232090,97,96.1,7.06,717,,,,,370,,,73.8954,38.3,,2.2,,50.1943,280.45,,,,,,,,6724,1079600,30671,18822.9,21187,-2364.1,,116.9883,,,,57.9,3617.7,56.7,,38.3,,36.1,2.2,,,2770.6,11.6,2402.6,2050.202,49.727,30671,,116.9883,171679,446.2,14.15,12.75,15.605,16.5,14.18,1079600,318,1027.2817,380.5642,97,96.1,,,,,-0.022990603
7/15/82,89522,99493,10849,9.8,,7.89,8.41,,382.4471,63.2,,232290,97.5,96.7,6.44,626,,,,,375,,,73.5581,38.4,,2.8,,50.0395,276.824,,,,,,,,-19831,1089600,31227,18059.6,19849.3,-1789.7,,118.3241,,,,58,3607.2,63.2,,38.4,,38.2,2.8,,,2789.4,12,2441.2,2075.08,50.048,31227,,118.3241,173381,449.5,12.59,10.25,14.514,16.26,13.76,1089600,1388,1032.3739,384.0437,97.5,96.7,,,,,0.115977215
8/15/82,89364,99633,10881,9.8,,7.94,8.37,,382.86264,56.9,,232496,97.7,97.1,5.85,627,,,,,407,,,72.8269,38.3,,-3.2,,49.6075,279.595,,,,,,,,-14704,1109200,31232,17463.3,22930,-5466.7,,118.6365,,,,57.5,3623,56.9,,38.3,,34.8,-3.2,,,2801.3,11.9,2450.5,2083.687,50.279,31232,,118.6365,173975,449.8,10.12,8.42,11.708,14.39,12.91,1109200,-236,1036.7997,385.8593,97.7,97.1,,,,,0.007614426
9/15/82,89183,99504,11217,10.1,,7.94,8.45,,384.35525,58.1,,232708,97.7,97.2,5.04,625,,,,,481,,,72.5244,38.8,,-13.6,,49.4584,277.214,,,,,,,,-1708,1142000,30993,17320.3,20581.3,-3261,,119.543,,80,,58,3638.8,58.1,,38.8,,43.9,-13.6,,,2808.5,11.1,2457.1,2108.923,50.466,30993,,119.543,173383,456.2,10.31,7.56,11.908,13.5,12.16,1142000,1040,1042.781,391.0385,97.7,97.2,,80,,,0.110363727
10/15/82,88906,99215,11529,10.4,,7.96,8.41,,384.96719,54.3,,232905,98.1,97.5,5.14,655,,,,,480,,,71.7969,39.4,,10.9,,49.011,282.069,,,,,,,,-26169,1142800,31712,16671.4,21006,-4334.6,,121.5483,,,,58.2,3640.5,54.3,,39.4,,38.9,10.9,,,2824.9,10.7,2470.7,2130.661,50.785,31712,,121.5483,174957,465.7,9.71,7.86,10.568,12.52,10.97,1142800,229,1049.0078,392.3917,98.1,97.5,,,,,0.036122953
11/15/82,88783,99112,11938,10.8,,7.98,8.46,,386.76665,57.4,,233077,98,97.3,4.59,678,,,,,554,,,71.4618,39.2,,2.3,,48.8232,286.299,,,,,,,,-24158,1161700,34006,15851.9,18892.4,-3040.5,,121.5614,,,,58.4,3656.5,57.4,,39.2,,39.6,2.3,,,2844.5,10.3,2488.3,2154.696,50.977,34006,,121.5614,177469,474.4,9.2,8.18,8.537,11.85,10.57,1161700,-114,1047.5776,391.9751,98,97.3,,,,,0.015158077
12/15/82,88769,99032,12051,10.8,,8.02,8.54,,389.84874,59.5,,233241,97.7,97.2,3.83,765,,,,,521,,,70.8925,42.8,,14.7,,48.4682,283.342,,,,,,,,-17938,1197100,33957,16346.6,19154.4,-2807.8,,117.4352,,79.9,,58.9,3693.7,59.5,,42.8,,41.8,14.7,,,2864.1,10.3,2504.7,2167.424,51.145,33957,,117.4352,180717,485.8,8.95,7.9,9.628,11.5,10.62,1197100,1031,1048.6804,392.0419,97.7,97.2,,79.9,,,0.033134243
1/15/83,88993,99161,11534,10.4,,8.06,8.56,,391.82773,59,,233398,97.9,97.6,3.71,595,,,,,582,,,72.2127,46,,12.5,,49.3992,294.227,,,,,,,,-9582,1201000,33935,17232.1,20127,-2894.9,,115.6864,,,,59.9,3778.8,59,,46,,46.8,12.5,,,2871.3,10.4,2522.2,2180.069,51.509,33935,,115.6864,178899,482.8,8.68,8.1,9.068,11.16,10.78,1201000,1050,1053.9144,393.1864,97.9,97.6,,,,,0.018995182
2/15/83,88918,99089,11545,10.4,,8.1,8.6,,392.36096,67.6,,233543,98,98,3.49,569,,,,,562,,,71.7252,54.4,,20.1,,49.089,289.024,,,,,,,,-25336,1215300,34232,16311.5,18804.1,-2492.6,,117.1515,,,,60.6,3844.2,67.6,,54.4,,52.2,20.1,,,2878.3,10.5,2527.6,2183.055,51.705,34232,,117.1515,177044,474.2,8.51,7.88,9.75,10.98,11.03,1215300,1036,1055.6946,393.3556,98,98,,,,,0.033094691
3/15/83,89090,99179,11408,10.3,,8.1,8.59,,395.58305,79.4,,233697,98.1,98.2,3.6,725,,,,,596,,,72.2834,53.9,,32.8,,49.4906,288.519,,,,,,,,-26036,1244500,34261,16690.3,19527.5,-2837.2,,118.3134,,77.7,,61.4,3874.3,79.4,,53.9,,57.2,32.8,,,2895.8,10,2543,2208.558,51.775,34261,,118.3134,177320,482.7,8.77,8.61,9.383,10.5,10.8,1244500,2444,1061.0021,393.8048,98.1,98.2,,77.7,,,0.074921548
4/15/83,89366,99560,11268,10.2,,8.13,8.62,,398.42671,83.1,,233852,98.8,98.6,3.9,728,,,,,638,,,73.12,54.2,,37.2,,50.0805,292.06,,,,,,,,-3308,1247900,34173,16094.8,19913.6,-3818.8,,118.8161,,,,61.9,3882.4,83.1,,54.2,,55.7,37.2,,,2910.3,9.6,2559.1,2231.761,51.932,34173,,118.8161,180038,498.6,8.8,8.07,9.326,10.5,10.63,1247900,-1231,1064.178,392.4259,98.8,98.6,,,,,-0.01234643
5/15/83,89643,99642,11154,10.1,,8.17,8.64,,399.95372,87.7,,234020,99.2,98.9,3.55,773,,,,,664,,,73.6059,56.1,,37.6,,50.4295,299.853,,,,,,,,-29285,1291400,33931,15655.4,21446.2,-5790.8,,118.3912,,,,62.8,3899,87.7,,56.1,,56.7,37.6,,,2937.2,9.4,2575.1,2250.959,52.008,33931,,118.3912,181386,493.9,8.63,8.56,9.088,10.5,10.67,1291400,1577,1068.0764,391.4906,99.2,98.9,,,,,0.035223844
6/15/83,90022,100633,11246,10.1,,8.19,8.66,,404.8326,87.5,,234213,99.4,99.2,2.58,869,,,,,651,,,74.0247,57.5,,42.3,,50.7333,309.053,,,,,,,,3401,1319600,33877,16959,20915.8,-3956.8,,120.6164,,77.8,,63.6,3904.3,87.5,,57.5,,50.8,42.3,,,2948.3,8.5,2582.9,2280.811,52.252,33877,,120.6164,183320,503.5,8.98,8.84,9.807,10.5,11.12,1319600,1394,1075.8975,393.8395,99.4,99.2,,77.8,,,-0.033014098
7/15/83,90440,101208,10548,9.4,,8.23,8.71,,409.47521,89,,234404,99.8,99.8,2.46,789,,,,,606,,,75.1178,63.6,,49.5,,51.5016,315.165,,,,,,,,-21412,1326900,33372,16486.3,21827.7,-5341.4,,121.4957,,,,64.3,3903.7,89,,63.6,,62.8,49.5,,,2974,9,2630.9,2308.981,52.604,33372,,121.4957,185279,510.5,9.37,9.25,10.128,10.5,11.59,1326900,-1840,1085.7503,397.7945,99.8,99.8,,,,,0.011318898
8/15/83,90132,101608,10623,9.5,,8.2,8.64,,413.99357,91.2,,234601,100.1,100.1,2.56,773,,,,,572,,,75.9093,63.1,,41.5,,52.0679,321.055,,,,,,,,-17477,1348400,32624,16582.4,22714.1,-6131.7,,123.4772,,,,64.5,3904.4,91.2,,63.1,,67.4,41.5,,,2986.1,8.7,2640.7,2324.83,52.876,32624,,123.4772,185438,508.2,9.56,9.28,10.406,10.89,11.96,1348400,-1736,1097.0603,401.5866,100.1,100.1,,,,,0.010158151
9/15/83,91247,102016,10282,9.2,,8.26,8.76,,417.82094,91.1,,234804,100.4,100.5,2.86,735,,,,,608,,,77.0026,62.5,,40.7,,52.8472,322.711,,,,,,,,1946,1377200,33066,17256.7,22451.4,-5194.7,,123.2106,85.7,77.6,,65.3,3908,91.1,,62.5,,65.7,40.7,,,3013.1,9,2665.2,2339.113,53.09,33066,,123.2106,184936,511.4,9.45,8.75,9.946,11,11.82,1377200,1376,1103.8844,402.529,100.4,100.5,85.7,77.6,,,-0.015174324
10/15/83,91518,102039,9887,8.8,,8.31,8.77,,423.773,92.1,,234993,100.8,101,2.85,757,,,,,632,,,77.5907,64.4,,35.5,,53.2874,324.438,,,,,,,,-25069,1384600,33273,17032.8,24332.8,-7300,,121.0874,,,,66.2,3931.4,92.1,,64.4,,68.8,35.5,,,3047.2,9.1,2693.6,2361.764,53.185,33273,,121.0874,186416,517.2,9.48,8.46,9.664,11,11.77,1384600,2343,1115.055,405.7486,100.8,101,,,,,0.017425864
11/15/83,91871,102729,9499,8.5,,8.32,8.84,,429.97738,96.7,,235157,101.1,101.5,3.27,701,,,,,644,,,77.8008,66,,45.1,,53.4759,332.571,,,,,,,,-21591,1389200,33655,17063.2,23114.7,-6051.5,,122.7739,,,,66.6,3950.1,96.7,,66,,69.5,45.1,,,3076.1,9.7,2720.9,2370.437,53.31,33655,,122.7739,189064,521.8,9.34,8.47,9.903,11,11.92,1389200,-464,1127.0755,409.6174,101.1,101.5,,,,,-0.008834135
12/15/83,92227,102996,9331,8.3,,8.33,8.92,,437.06886,103.6,,235310,101.4,101.8,3.79,910,,,,,773,,,78.1369,69.9,,40.9,,53.7593,336.67,,,,,,,,-16661,1410700,33748,17297.6,22975.7,-5678.1,,124.3378,85.4,78,,67.3,3968.9,103.6,,69.9,,75.1,40.9,,,3105.6,9.5,2747.4,2397.892,53.35,33748,,124.3378,192191,533.3,9.47,8.95,10.203,11,12.02,1410700,-1228,1135.5382,413.9404,101.4,101.8,85.4,78,,,-0.009216031
1/15/84,92673,103201,9008,8,,8.38,8.95,,441.99113,103.9,,235456,102.1,102.5,4.19,747,,,,,691,,,79.5908,60.5,,47,,54.8216,337.799,,,,,,,,-5515,1437400,33888,17888.7,26204.5,-8315.8,,125.355,,,,68.1,3979.2,103.9,,60.5,,69.8,47,,,3131.1,9.4,2773.2,2423.754,53.525,33888,,125.355,191350,530.2,9.56,8.88,9.89,11,11.82,1437400,605,1141.4751,415.6054,102.1,102.5,,,,,-0.038859311
2/15/84,93154,103824,8791,7.8,,8.37,8.94,,451.90703,101,,235601,102.6,102.8,4.6,782,,,,,696,,,79.848,61.3,,25.7,,55.0698,351.964,,,,,,,,-20381,1457500,34818,17208,26419.5,-9211.5,,123.6175,,,,68.8,3989.6,101,,61.3,,65.9,25.7,,,3170.7,11.1,2808.9,2408.115,53.861,34818,,123.6175,186839,516.9,9.59,9.13,10.509,11,12,1457500,1382,1160.9228,423.5808,102.6,102.8,,,,,0.013498026
3/15/84,93429,103967,8746,7.8,,8.41,8.97,,456.55016,101.1,,235757,102.9,103.2,4.8,835,,,,,641,,,80.1207,58.9,,35.6,,55.3384,356.788,,,,,,,,-28555,1463700,34975,17905.7,26948.2,-9042.5,,121.3992,85.9,78.7,,68.9,4007.9,101.1,,58.9,,70.7,35.6,,,3200.5,10.9,2836.7,2436.387,54.065,34975,,121.3992,189122,523.2,9.91,9.7,10.514,11.21,12.45,1463700,357,1172.4229,430.9463,102.9,103.2,85.9,78.7,,,0.005465511
4/15/84,93792,104336,8762,7.7,,8.45,8.99,,462.14122,106.1,,235916,103.3,103.7,4.56,837,,,,,639,,,80.5012,61,,36.9,,55.6911,357.975,,,,,,,,11493,1486100,34585,17520.4,28073.7,-10553.3,,122.6857,,,,69.3,4023,106.1,,61,,69.3,36.9,,,3233.4,10.9,2867.1,2462.604,54.321,34585,,122.6857,192249,539.9,10.29,9.72,10.947,11.93,12.65,1486100,2163,1188.9806,437.8374,103.3,103.7,,,,,-0.059356451
5/15/84,94100,105193,8456,7.4,,8.44,8.99,,472.44428,104.8,,236077,103.5,104.1,4.23,886,,,,,615,,,80.7331,58.6,,31.7,,55.9506,367.017,,,,,,,,-33932,1497100,34713,17978.1,26011.9,-8033.8,,125.6014,,,,69.7,4040.7,104.8,,58.6,,68,31.7,,,3244.8,10.5,2875.2,2479.823,54.447,34713,,125.6014,192820,530.7,10.32,9.74,11.663,12.39,13.43,1497100,417,1206.3005,446.3183,103.5,104.1,,,,,0.017469279
6/15/84,94479,105591,8226,7.2,,8.48,9.02,,480.99454,105.8,,236254,103.7,104.5,4.22,928,,,,,630,,,80.8711,58.1,,27.7,,56.1549,372.933,,,,,,,,-2000,1512700,34547,17705.3,25276.2,-7570.9,,126.4933,87.1,78.9,,69.9,4053.5,105.8,,58.1,,64.7,27.7,,,3275.3,10.5,2899.9,2501.241,54.576,34547,,126.4933,195695,541.4,11.06,9.9,11.861,12.6,13.54,1512700,-342,1220.0064,450.9723,103.7,104.5,87.1,78.9,,,-0.016451234
7/15/84,94792,105435,8537,7.5,,8.52,9.05,,487.1488,100.4,,236449,104.1,105,4.2,903,,,,,619,,,80.9596,56.1,,1.4,,56.3326,373.301,,,,,,,,-16416,1538600,34391,19153.9,31334,-12180.1,,130.7488,,,,70.1,4054.4,100.4,,56.1,,62.5,1.4,,,3295.1,11,2914.6,2500.474,54.811,34391,,130.7488,197492,543.3,11.23,10.4,12.134,13,13.36,1538600,1918,1233.5993,455.8009,104.1,105,,,,,0.106332139
8/15/84,95034,105163,8519,7.5,,8.52,9.02,,494.11763,103.1,,236655,104.4,105.4,4.29,852,,,,,567,,,80.8579,53,,23.7,,56.3847,374.486,,,,,,,,-33498,1560700,34760,18122.9,26866.3,-8743.4,,130.5608,,,,70.2,4054.4,103.1,,53,,56.3,23.7,,,3327.9,11.2,2944.5,2518.366,54.993,34760,,130.5608,196735,539,11.64,10.71,11.926,13,12.71,1560700,6563,1242.7611,458.7925,104.4,105.4,,,,,-0.003479722
9/15/84,95344,105490,8367,7.3,,8.56,9.11,,498.4964,100,,236868,104.7,105.8,4.27,874,,,,,662,,,80.5285,50,,22.3,,56.2832,379.516,,,,,,,,16785,1572300,34307,18209.9,28409.4,-10199.5,,133.9208,85.1,77.7,,70.2,4074.2,100,,50,,59.3,22.3,,,3358.1,11.2,2969.7,2540.287,55.078,34307,,133.9208,197898,542.5,11.3,10.22,11.787,12.97,12.42,1572300,-4181,1253.7907,461.9148,104.7,105.8,85.1,77.7,,,-6.02047E-05
